,Name,Date time,Prediction,color_code
0,"Selangor, Malaysia",28/5/2021,26.91004372,#000000
1,"Selangor, Malaysia",29/5/2021,26.47701073,#000000
2,"Selangor, Malaysia",30/5/2021,26.66258049,#000000
3,"Selangor, Malaysia",31/5/2021,26.33275795,#000000
4,"Selangor, Malaysia",1/6/2021,26.66806602,#000000
5,"Selangor, Malaysia",2/6/2021,26.49345589,#000000
6,"Selangor, Malaysia",3/6/2021,26.27666664,#000000
7,"Selangor, Malaysia",4/6/2021,26.69654274,#000000
8,"Selangor, Malaysia",5/6/2021,26.27622223,#000000
9,"Selangor, Malaysia",6/6/2021,26.47496986,#000000
10,"Selangor, Malaysia",7/6/2021,26.15867805,#000000
11,"Selangor, Malaysia",8/6/2021,26.50775337,#000000
12,"Selangor, Malaysia",9/6/2021,26.34703445,#000000
13,"Selangor, Malaysia",10/6/2021,26.14414787,#000000
14,"Selangor, Malaysia",11/6/2021,26.57781792,#000000
15,"Selangor, Malaysia",12/6/2021,26.17107773,#000000
16,"Selangor, Malaysia",13/6/2021,26.38308334,#000000
17,"Selangor, Malaysia",14/6/2021,26.0796299,#000000
18,"Selangor, Malaysia",15/6/2021,26.44102669,#000000
19,"Selangor, Malaysia",16/6/2021,26.29202271,#000000
20,"Selangor, Malaysia",17/6/2021,26.10016632,#000000
21,"Selangor, Malaysia",18/6/2021,26.54410934,#000000
22,"Selangor, Malaysia",19/6/2021,26.14682388,#000000
23,"Selangor, Malaysia",20/6/2021,26.36741447,#000000
24,"Selangor, Malaysia",21/6/2021,26.07163239,#000000
25,"Selangor, Malaysia",22/6/2021,26.43975258,#000000
26,"Selangor, Malaysia",23/6/2021,26.2965107,#000000
27,"Selangor, Malaysia",24/6/2021,26.10943985,#000000
28,"Selangor, Malaysia",25/6/2021,26.55719566,#000000
29,"Selangor, Malaysia",26/6/2021,26.16275978,#000000
30,"Selangor, Malaysia",27/6/2021,26.38525772,#000000
31,"Selangor, Malaysia",28/6/2021,26.09047318,#000000
32,"Selangor, Malaysia",29/6/2021,26.45872498,#000000
33,"Selangor, Malaysia",30/6/2021,26.31479073,#000000
34,"Selangor, Malaysia",1/7/2021,26.12626839,#000000
35,"Selangor, Malaysia",2/7/2021,26.57187271,#000000
36,"Selangor, Malaysia",3/7/2021,26.17465973,#000000
37,"Selangor, Malaysia",4/7/2021,26.39382935,#000000
38,"Selangor, Malaysia",5/7/2021,26.09524345,#000000
39,"Selangor, Malaysia",6/7/2021,26.45930481,#000000
40,"Selangor, Malaysia",7/7/2021,26.31088066,#000000
41,"Selangor, Malaysia",8/7/2021,26.11764526,#000000
42,"Selangor, Malaysia",9/7/2021,26.55840683,#000000
43,"Selangor, Malaysia",10/7/2021,26.15630341,#000000
44,"Selangor, Malaysia",11/7/2021,26.3706131,#000000
45,"Selangor, Malaysia",12/7/2021,26.06728172,#000000
46,"Selangor, Malaysia",13/7/2021,26.42678261,#000000
47,"Selangor, Malaysia",14/7/2021,26.27404785,#000000
48,"Selangor, Malaysia",15/7/2021,26.07682037,#000000
49,"Selangor, Malaysia",16/7/2021,26.51396179,#000000
50,"Selangor, Malaysia",17/7/2021,26.10865021,#000000
51,"Selangor, Malaysia",18/7/2021,26.32021141,#000000
52,"Selangor, Malaysia",19/7/2021,26.01461411,#000000
53,"Selangor, Malaysia",20/7/2021,26.37235451,#000000
54,"Selangor, Malaysia",21/7/2021,26.21837425,#000000
55,"Selangor, Malaysia",22/7/2021,26.02042007,#000000
56,"Selangor, Malaysia",23/7/2021,26.45733833,#000000
57,"Selangor, Malaysia",24/7/2021,26.05229759,#000000
58,"Selangor, Malaysia",25/7/2021,26.26458931,#000000
59,"Selangor, Malaysia",26/7/2021,25.96015167,#000000
60,"Selangor, Malaysia",27/7/2021,26.31942749,#000000
61,"Selangor, Malaysia",28/7/2021,26.16731453,#000000
62,"Selangor, Malaysia",29/7/2021,25.97149277,#000000
63,"Selangor, Malaysia",30/7/2021,26.41074371,#000000
64,"Selangor, Malaysia",31/7/2021,26.00816536,#000000
65,"Selangor, Malaysia",1/8/2021,26.22296906,#000000
66,"Selangor, Malaysia",2/8/2021,25.92101288,#000000
67,"Selangor, Malaysia",3/8/2021,26.28266335,#000000
68,"Selangor, Malaysia",4/8/2021,26.13272667,#000000
69,"Selangor, Malaysia",5/8/2021,25.93880081,#000000
70,"Selangor, Malaysia",6/8/2021,26.37958717,#000000
71,"Selangor, Malaysia",7/8/2021,25.97809792,#000000
72,"Selangor, Malaysia",8/8/2021,26.19347,#000000
73,"Selangor, Malaysia",9/8/2021,25.89148521,#000000
74,"Selangor, Malaysia",10/8/2021,26.25244713,#000000
75,"Selangor, Malaysia",11/8/2021,26.10109711,#000000
76,"Selangor, Malaysia",12/8/2021,25.90498352,#000000
77,"Selangor, Malaysia",13/8/2021,26.34275627,#000000
78,"Selangor, Malaysia",14/8/2021,25.93740273,#000000
79,"Selangor, Malaysia",15/8/2021,26.14802742,#000000
80,"Selangor, Malaysia",16/8/2021,25.8404026,#000000
81,"Selangor, Malaysia",17/8/2021,26.19482231,#000000
82,"Selangor, Malaysia",18/8/2021,26.03604507,#000000
83,"Selangor, Malaysia",19/8/2021,25.83163071,#000000
84,"Selangor, Malaysia",20/8/2021,26.26027107,#000000
85,"Selangor, Malaysia",21/8/2021,25.84498978,#000000
86,"Selangor, Malaysia",22/8/2021,26.0449543,#000000
87,"Selangor, Malaysia",23/8/2021,25.72599792,#000000
88,"Selangor, Malaysia",24/8/2021,26.06850052,#000000
89,"Selangor, Malaysia",25/8/2021,25.89730072,#000000
90,"Selangor, Malaysia",26/8/2021,25.68006516,#000000
91,"Selangor, Malaysia",27/8/2021,26.09559059,#000000
92,"Selangor, Malaysia",28/8/2021,25.66701126,#000000
93,"Selangor, Malaysia",29/8/2021,25.85362053,#000000
94,"Selangor, Malaysia",30/8/2021,25.52138138,#000000
95,"Selangor, Malaysia",31/8/2021,25.85079956,#000000
96,"Selangor, Malaysia",1/9/2021,25.66685486,#000000
97,"Selangor, Malaysia",2/9/2021,25.43734741,#000000
98,"Selangor, Malaysia",3/9/2021,25.8412075,#000000
99,"Selangor, Malaysia",4/9/2021,25.40171242,#000000
100,"Selangor, Malaysia",5/9/2021,25.5782814,#000000
101,"Selangor, Malaysia",6/9/2021,25.23700905,#000000
